code,coding_system,description,entity,list_name,upload_date
22A..00,Read,O/E - weight,observation,49 - Body_mass_index,2014-01-27
22A1.00,Read,O/E - weight > 20% below ideal,observation,49 - Body_mass_index,2014-01-27
22A2.00,Read,O/E -weight 10-20% below ideal,observation,49 - Body_mass_index,2014-01-27
22A3.00,Read,O/E - weight within 10% ideal,observation,49 - Body_mass_index,2014-01-27
22A4.00,Read,O/E - weight 10-20% over ideal,observation,49 - Body_mass_index,2014-01-27
22A4.11,Read,O/E - overweight,observation,49 - Body_mass_index,2014-01-27
22A5.00,Read,O/E - weight > 20% over ideal,observation,49 - Body_mass_index,2014-01-27
22A5.11,Read,O/E - obese,observation,49 - Body_mass_index,2014-01-27
22A6.00,Read,O/E - Underweight,observation,49 - Body_mass_index,2014-01-27
22K..00,Read,Body Mass Index,observation,49 - Body_mass_index,2014-01-27
22K1.00,Read,Body Mass Index normal K/M2,observation,49 - Body_mass_index,2014-01-27
22K2.00,Read,Body Mass Index high K/M2,observation,49 - Body_mass_index,2014-01-27
22K3.00,Read,Body Mass Index low K/M2,observation,49 - Body_mass_index,2014-01-27
22K4.00,Read,Body mass index index 25-29 - overweight,observation,49 - Body_mass_index,2014-01-27
22K5.00,Read,Body mass index 30+ - obesity,observation,49 - Body_mass_index,2014-01-27
22K6.00,Read,Body mass index less than 20,observation,49 - Body_mass_index,2014-01-27
22K7.00,Read,Body mass index 40+ - severely obese,observation,49 - Body_mass_index,2014-01-27
22K8.00,Read,Body mass index 20-24 - normal,observation,49 - Body_mass_index,2014-01-27
22Z..00,Read,Height and Weight,observation,49 - Body_mass_index,2014-01-27
636..00,Read,Birthweight of baby,observation,49 - Body_mass_index,2014-01-27
636..11,Read,Birthweight,observation,49 - Body_mass_index,2014-01-27
636..12,Read,Weight - baby,observation,49 - Body_mass_index,2014-01-27
636Z.00,Read,Birthweight of baby NOS,observation,49 - Body_mass_index,2014-01-27
647..00,Read,Child weight centiles,observation,49 - Body_mass_index,2014-01-27
6471.00,Read,Child weight < 3rd centile,observation,49 - Body_mass_index,2014-01-27
6472.00,Read,Child weight=3rd-9th centile,observation,49 - Body_mass_index,2014-01-27
6473.00,Read,Child weight=10th-24th centile,observation,49 - Body_mass_index,2014-01-27
6474.00,Read,Child weight=25th-49th centile,observation,49 - Body_mass_index,2014-01-27
6475.00,Read,Child weight=50th-74th centile,observation,49 - Body_mass_index,2014-01-27
6476.00,Read,Child weight=75th-89th centile,observation,49 - Body_mass_index,2014-01-27
6477.00,Read,Child weight=90th-96th centile,observation,49 - Body_mass_index,2014-01-27
6478.00,Read,Child weight > 97th centile,observation,49 - Body_mass_index,2014-01-27
6479.00,Read,Child weight < 0.4th centile,observation,49 - Body_mass_index,2014-01-27
647A.00,Read,Child weight = 0.4th centile,observation,49 - Body_mass_index,2014-01-27
647B.00,Read,Child weight 0.5th - 1.9th centile,observation,49 - Body_mass_index,2014-01-27
647C.00,Read,Child weight = 2nd centile,observation,49 - Body_mass_index,2014-01-27
647D.00,Read,Child weight 3rd - 8th centile,observation,49 - Body_mass_index,2014-01-27
647E.00,Read,Child weight 9th centile,observation,49 - Body_mass_index,2014-01-27
647F.00,Read,Child weight 10th - 24th centile,observation,49 - Body_mass_index,2014-01-27
647G.00,Read,Child weight = 25th centile,observation,49 - Body_mass_index,2014-01-27
647H.00,Read,Child weight 26th - 49th centile,observation,49 - Body_mass_index,2014-01-27
647I.00,Read,Child weight = 50th centile,observation,49 - Body_mass_index,2014-01-27
647J.00,Read,Child weight 51st - 74th centile,observation,49 - Body_mass_index,2014-01-27
647K.00,Read,Child weight = 75th centile,observation,49 - Body_mass_index,2014-01-27
647L.00,Read,Child weight 76th - 90th centile,observation,49 - Body_mass_index,2014-01-27
647M.00,Read,Child weight = 91st centile,observation,49 - Body_mass_index,2014-01-27
647N.00,Read,Child weight 92nd - 97th centile,observation,49 - Body_mass_index,2014-01-27
647O.00,Read,Child weight = 98th centile,observation,49 - Body_mass_index,2014-01-27
647P.00,Read,Child weight 98.1st - 99.6th centile,observation,49 - Body_mass_index,2014-01-27
