code,coding_system,description,entity,list_name,upload_date
2BB..00,Read,O/E - retinal inspection,test,54 - Retinal_screening,2014-01-27
2BB1.00,Read,O/E - retina normal,test,54 - Retinal_screening,2014-01-27
2BB..11,Read,O/E - retina,test,54 - Retinal_screening,2014-01-27
2BB2.00,Read,O/E - retinal vessel narrowing,test,54 - Retinal_screening,2014-01-27
2BB3.00,Read,O/E - retinal A-V nipping,test,54 - Retinal_screening,2014-01-27
2BB4.00,Read,O/E - retinal microaneurysms,test,54 - Retinal_screening,2014-01-27
2BB5.00,Read,O/E - retinal haemorrhages,test,54 - Retinal_screening,2014-01-27
2BB6.00,Read,O/E - retinal exudates,test,54 - Retinal_screening,2014-01-27
2BB7.00,Read,O/E - retinal vascular prolif.,test,54 - Retinal_screening,2014-01-27
2BB8.00,Read,O/E - vitreous haemorrhages,test,54 - Retinal_screening,2014-01-27
2BB9.00,Read,O/E - retinal pigmentation,test,54 - Retinal_screening,2014-01-27
2BBa.00,Read,O/E- non-referable retinopathy,test,54 - Retinal_screening,2014-01-27
2BBA.00,Read,Examination of retina,test,54 - Retinal_screening,2014-01-27
2BBb.00,Read,O/E - fundus not adequately seen,test,54 - Retinal_screening,2014-01-27
2BBB.00,Read,O/E - Right retina not seen,test,54 - Retinal_screening,2014-01-27
2BBc.00,Read,O/E - No retinal laser photocoagulation scars,test,54 - Retinal_screening,2014-01-27
2BBC.00,Read,O/E - Left retina not seen,test,54 - Retinal_screening,2014-01-27
2BBd.00,Read,O/E - Red reflex absent,test,54 - Retinal_screening,2014-01-27
2BBD.00,Read,O/E - Right retina normal,test,54 - Retinal_screening,2014-01-27
2BBe.00,Read,O/E - right retina partially assessable,test,54 - Retinal_screening,2014-01-27
2BBE.00,Read,O/E - Left retina normal,test,54 - Retinal_screening,2014-01-27
2BBF.00,Read,Retinal abnormality - diabetes related,test,54 - Retinal_screening,2014-01-27
2BBg.00,Read,O/E - right retina fully assessable,test,54 - Retinal_screening,2014-01-27
2BBG.00,Read,Retinal abnormality - non-diabetes,test,54 - Retinal_screening,2014-01-27
2BBH.00,Read,Retinal drusen,test,54 - Retinal_screening,2014-01-27
2BBi.00,Read,O/E - right eye no maculopathy,test,54 - Retinal_screening,2014-01-27
2BBI.00,Read,O/E - no retinopathy,test,54 - Retinal_screening,2014-01-27
