code,coding_system,description,entity,list_name,upload_date
G61..00,Read,Intracerebral haemorrhage,diagnostic,70 - Stroke,2014-01-27
G610.00,Read,Cortical haemorrhage,diagnostic,70 - Stroke,2014-01-27
G611.00,Read,Internal capsule haemorrhage,diagnostic,70 - Stroke,2014-01-27
G61..11,Read,CVA - cerebrovascular accid due to intracerebral haemorrhage,diagnostic,70 - Stroke,2014-01-27
G61..12,Read,Stroke due to intracerebral haemorrhage,diagnostic,70 - Stroke,2014-01-27
G612.00,Read,Basal nucleus haemorrhage,diagnostic,70 - Stroke,2014-01-27
G613.00,Read,Cerebellar haemorrhage,diagnostic,70 - Stroke,2014-01-27
G614.00,Read,Pontine haemorrhage,diagnostic,70 - Stroke,2014-01-27
G615.00,Read,Bulbar haemorrhage,diagnostic,70 - Stroke,2014-01-27
G616.00,Read,External capsule haemorrhage,diagnostic,70 - Stroke,2014-01-27
G618.00,Read,Intracerebral haemorrhage; multiple localized,diagnostic,70 - Stroke,2014-01-27
G61X.00,Read,Intracerebral haemorrhage in hemisphere; unspecified,diagnostic,70 - Stroke,2014-01-27
G61X000,Read,Left sided intracerebral haemorrhage; unspecified,diagnostic,70 - Stroke,2014-01-27
G61X100,Read,Right sided intracerebral haemorrhage; unspecified,diagnostic,70 - Stroke,2014-01-27
G61z.00,Read,Intracerebral haemorrhage NOS,diagnostic,70 - Stroke,2014-01-27
G63y000,Read,Cerebral infarct due to thrombosis of precerebral arteries,diagnostic,70 - Stroke,2014-01-27
G63y100,Read,Cerebral infarction due to embolism of precerebral arteries,diagnostic,70 - Stroke,2014-01-27
G64..00,Read,Cerebral arterial occlusion,diagnostic,70 - Stroke,2014-01-27
G640.00,Read,Cerebral thrombosis,diagnostic,70 - Stroke,2014-01-27
G640000,Read,Cerebral infarction due to thrombosis of cerebral arteries,diagnostic,70 - Stroke,2014-01-27
G641.00,Read,Cerebral embolism,diagnostic,70 - Stroke,2014-01-27
G641000,Read,Cerebral infarction due to embolism of cerebral arteries,diagnostic,70 - Stroke,2014-01-27
G64..11,Read,CVA - cerebral artery occlusion,diagnostic,70 - Stroke,2014-01-27
G641.11,Read,Cerebral embolus,diagnostic,70 - Stroke,2014-01-27
G64..12,Read,Infarction - cerebral,diagnostic,70 - Stroke,2014-01-27
G64..13,Read,Stroke due to cerebral arterial occlusion,diagnostic,70 - Stroke,2014-01-27
G64z.00,Read,Cerebral infarction NOS,diagnostic,70 - Stroke,2014-01-27
G64z000,Read,Brainstem infarction,diagnostic,70 - Stroke,2014-01-27
G64z100,Read,Wallenberg syndrome,diagnostic,70 - Stroke,2014-01-27
G64z.11,Read,Brainstem infarction NOS,diagnostic,70 - Stroke,2014-01-27
G64z111,Read,Lateral medullary syndrome,diagnostic,70 - Stroke,2014-01-27
G64z.12,Read,Cerebellar infarction,diagnostic,70 - Stroke,2014-01-27
G64z200,Read,Left sided cerebral infarction,diagnostic,70 - Stroke,2014-01-27
G64z300,Read,Right sided cerebral infarction,diagnostic,70 - Stroke,2014-01-27
G64z400,Read,Infarction of basal ganglia,diagnostic,70 - Stroke,2014-01-27
G65..00,Read,Transient cerebral ischaemia,diagnostic,70 - Stroke,2014-01-27
G650.00,Read,Basilar artery syndrome,diagnostic,70 - Stroke,2014-01-27
G650.11,Read,Insufficiency - basilar artery,diagnostic,70 - Stroke,2014-01-27
G651.00,Read,Vertebral artery syndrome,diagnostic,70 - Stroke,2014-01-27
G651000,Read,Vertebro-basilar artery syndrome,diagnostic,70 - Stroke,2014-01-27
G65..11,Read,Drop attack,diagnostic,70 - Stroke,2014-01-27
G65..12,Read,Transient ischaemic attack,diagnostic,70 - Stroke,2014-01-27
G65..13,Read,Vertebro-basilar insufficiency,diagnostic,70 - Stroke,2014-01-27
G652.00,Read,Subclavian steal syndrome,diagnostic,70 - Stroke,2014-01-27
